id,message,expected_intent,expected_priority,expected_routing,predicted_intent,predicted_priority,predicted_routing,predicted_entities,suggested_action,explanation,response,error
11,There's an issue.,Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
12,My salary was supposed to be deposited today but I don't see it.,Missing Deposit,High,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
13,"I keep getting declined even though I have enough balance, this is frustrating and urgent.",Card Decline;Complaint,High,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
14,Can I get a copy of my last 6 months statements?,Statement Request,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
15,"I think my card details got leaked online, what should I do?",Fraud Suspicion,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
16,Not happy with the service at all.,Complaint,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
17,"I applied for a loan two weeks ago and haven't heard back, I need an update urgently since I have a deadline.",Loan Status Inquiry,High,Loan Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
18,Why was my transaction declined at checkout yesterday?,Transaction Decline Inquiry,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
19,"Please cancel my subscription and refund the last payment, it's been charged again by mistake.",Subscription Cancellation;Refund Request,Medium,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
20,"I got an email asking me to confirm my password, is this legit?",Phishing Suspicion,High,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
21,Just checking in.,Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
22,My joint account shows a transaction I don't recognize and my spouse says it wasn't them either.,Fraud Suspicion,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
23,How do I update my mailing address on file?,Profile Update,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
24,"I was double billed for my credit card annual fee and also charged a late fee I shouldn't have gotten, please fix both issues fast.",Billing Issue;Late Fee Dispute,High,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
25,Can someone help me?,Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
26,"I need to dispute a charge from a merchant I never purchased from, and I also want to report my card as potentially compromised.",Chargeback Request;Fraud Suspicion,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
27,What's the interest rate on your savings account?,Product Inquiry,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
28,"My mortgage payment was deducted twice this month, I need this fixed before the due date for my other bills.",Billing Issue,High,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
29,This app keeps crashing when I try to log in.,Technical Issue,Medium,Technical Support,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
30,"I'm not sure what's going on with my account, something seems off but I can't tell what.",Unclear,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
31,"I received a notification about a large transfer I never initiated, please block it if not too late.",Fraud Suspicion;Urgent Action,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
32,How long does it take for a check deposit to clear?,Process Inquiry,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
33,I was told my refund would arrive in 3 days but it's been 10 days now and I'm losing patience.,Refund Delay;Complaint,High,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
34,Can you explain the overdraft fee on my statement?,Fee Inquiry,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
35,"Please help, not sure who to contact.",Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
36,"My debit card was declined twice today and then I got a text saying my account might be locked, is something wrong?",Card Issue;Account Status Inquiry,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
37,I want to file a formal complaint about being on hold for over an hour yesterday.,Complaint,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
38,"There is a strange charge from a country I have never visited, please investigate immediately.",Fraud Suspicion,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
39,What documents do I need to open a business account?,Product Inquiry,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
40,My account.,Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
41,"I was charged an ATM fee even though your website says your ATMs are free, please refund and explain.",Fee Dispute,Medium,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
42,Someone used my card details to make an online purchase I never approved and I want it reversed immediately.,Fraud Suspicion;Chargeback Request,Critical,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
43,Can I increase my credit card limit?,Credit Limit Request,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
44,"I need my paycheck deposit issue fixed today, it's urgent because rent is due and I also want to know why my last statement had an unexplained fee.",Missing Deposit;Fee Dispute,High,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
45,Not sure if this is the right place to ask this.,Unclear,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
46,"My account got locked after I entered the wrong password a few times, how do I unlock it?",Account Lockout,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
47,"I keep receiving suspicious texts asking me to verify my account, I'm worried someone is trying to hack me and I want my account monitored closely.",Phishing Suspicion;Fraud Suspicion,High,Fraud Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
48,What's your customer service phone number?,General Inquiry,Low,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
49,"idk something with my card and also a payment I don't remember making, kind of confusing",Unclear;Possible Fraud,Medium,Support Team,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
50,"I was double charged for my flight booking through your partner merchant and also noticed an unauthorized subscription charge on the same statement, please resolve both urgently.",Billing Issue;Fraud Suspicion,Critical,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
